Event,Site,Date,White,Black,WhiteElo,BlackElo,Opening Code,Result,Termination,Moves,Outcome,Opening
Live Chess,Chess.com,2022-04-09,emil0813,omarsayeh,367,388,B30,0-1,omarsayeh won by checkmate,"['e2e4', 'c7c5', 'g1f3', 'b8c6', 'd2d4', 'g8f6', 'e4e5', 'f6e4', 'd4c5', 'e7e6', 'f1b5', 'c6b4', 'c2c3', 'b4d5', 'e1g1', 'f8c5', 'b2b4', 'c5f2', 'f1f2', 'e4f2', 'g1f2', 'd8b6', 'f3d4', 'e8g8', 'c1e3', 'a7a6', 'd4c2', 'd5e3', 'c2e3', 'b6b5', 'b1a3', 'b5e5', 'd1d4', 'e5f6', 'd4f6', 'g7f6', 'a1d1', 'a6a5', 'd1d4', 'e6e5', 'd4g4', 'g8h8', 'a3c4', 'a5b4', 'c4d6', 'a8a2', 'f2g3', 'h7h5', 'g4b4', 'f8g8', 'g3h4', 'f6f5', 'e3f5', 'a2g2', 'd6f7', 'h8h7', 'b4b6', 'g2h2']",Won as Black,B30: Sicilian defence
Live Chess,Chess.com,2022-04-09,fedi1000,omarsayeh,216,383,A00,1-0,fedi1000 won on time,"['a2a4', 'd7d5', 'h2h4', 'e7e5', 'g1f3', 'b8c6', 'b1c3', 'g8f6', 'f3g5', 'c8g4', 'f2f3', 'g4h5', 'b2b3', 'f8c5', 'c3b5', 'h5f3', 'e2f3', 'e5e4', 'f3e4', 'f6g4', 'f1e2', 'c5f2', 'e1f1', 'f2d4', 'e2g4', 'd4a1', 'h4h5', 'd8g5', 'e4d5', 'e8g8', 'b5c7', 'a8c8', 'c7b5', 'a7a6', 'b5d6', 'c8c7', 'd6f5', 'c6b4', 'c2c3', 'b4a2', 'f1g1', 'a1c3', 'd2c3', 'a2c3', 'd1d3', 'g5c1', 'g4d1', 'c1d1', 'd3f1', 'c3d5', 'f1d1', 'c7d7', 'd1g4', 'g7g6', 'h5g6', 'd5f6', 'g4h4', 'd7d1', 'g1f2', 'd1d2', 'f2g3', 'd2d3', 'g3f4', 'f6d5', 'f4g4', 'd5e3', 'f5e3', 'd3e3', 'h4f2', 'e3e4', 'g4f3', 'e4e6', 'g6h7', 'g8g7', 'f2a7', 'e6f6', 'f3g4', 'f6g6', 'g4f3', 'g6f6', 'f3e2', 'f6e6', 'e2f1', 'e6f6', 'f1e1', 'f6e6', 'e1f2', 'e6f6', 'f2e3', 'f6e6', 'e3d2', 'e6d6', 'd2c3', 'f7f5', 'a7b7', 'f8f7', 'b7c8', 'f5f4', 'b3b4', 'd6d7', 'c8a6', 'd7c7', 'c3b3', 'f7e7', 'b4b5', 'e7e3', 'b3b4', 'c7c2', 'h7h8q', 'g7f7', 'a6b7', 'f7e6', 'h8h6', 'e6e5', 'h6h5', 'e5d4', 'h5c5', 'c2c5', 'b7d7', 'd4e4', 'd7e7', 'c5e5', 'b5b6', 'e3e2', 'e7f7', 'e2b2', 'b4a3', 'b2g2', 'b6b7', 'f4f3', 'b7b8q', 'f3f2', 'h1f1', 'g2g1', 'f1g1', 'f2g1q', 'b8b4', 'e4d3', 'b4b5', 'd3c3', 'b5e5', 'c3c2', 'e5e4', 'c2d2', 'e4d4']",Lost as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-09,fedi1000,omarsayeh,223,376,A00,0-1,omarsayeh won by checkmate,"['h2h4', 'f7f5', 'g1f3', 'g7g6', 'g2g3', 'g8f6', 'f1h3', 'd7d5', 'e1g1', 'b8c6', 'a2a4', 'e7e6', 'b1c3', 'f8c5', 'e2e3', 'c5b4', 'c3b5', 'f6e4', 'd1e1', 'a7a6', 'b5d4', 'c6d4', 'e3d4', 'e8g8', 'd2d3', 'b4e1', 'f1e1', 'e4d6', 'e1e6', 'c8e6', 'c2c4', 'd5c4', 'd3c4', 'e6c4', 'h3f5', 'g6f5', 'c1g5', 'd8d7', 'a1c1', 'a8e8', 'b2b4', 'b7b5', 'a4b5', 'a6b5', 'f3e5', 'd7c8', 'e5c4', 'd6c4', 'c1c4', 'b5c4', 'g5c1', 'e8e1', 'g1g2', 'e1c1', 'f2f4', 'f8e8', 'h4h5', 'e8e2', 'g2f3', 'c8e8', 'd4d5', 'c1f1']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-09,fedi1000,omarsayeh,213,386,A00,0-1,omarsayeh won by checkmate,"['h2h4', 'f7f5', 'a2a3', 'g7g6', 'b1c3', 'g8f6', 'd2d4', 'b8c6', 'c1e3', 'd7d5', 'f2f4', 'e7e6', 'd1d3', 'f8h6', 'e1c1', 'f6g4', 'e3f2', 'g4f2', 'h1h2', 'h6f4', 'e2e3', 'f2d3', 'd1d3', 'f4h2', 'g1f3', 'e8g8', 'f3h2', 'f5f4', 'e3f4', 'f8f4', 'g2g3', 'f4d4', 'd3f3', 'e6e5', 'h2g4', 'c8g4', 'h4h5', 'g4f3', 'c3d5', 'f3d5', 'f1b5', 'd4g4', 'b5c6', 'd5c6', 'h5g6', 'h7g6', 'b2b4', 'g4g3', 'c2c4', 'c6e4', 'c4c5', 'g3g1', 'c1b2', 'd8d2', 'b2b3', 'e4d5', 'b3a4', 'a7a6', 'b4b5', 'd2c2', 'a4a5', 'c2c3', 'a5a4', 'g1g4']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-09,Sebastys,omarsayeh,290,388,A00,0-1,omarsayeh won by checkmate,"['a2a4', 'd7d5', 'b1c3', 'g8f6', 'e2e3', 'e7e5', 'f1d3', 'c8g4', 'h2h4', 'g4d1', 'e1d1', 'f6g4', 'd1e2', 'b8c6', 'b2b3', 'd5d4', 'e3d4', 'e5d4', 'c1a3', 'd4c3', 'd2c3', 'f8c5', 'e2d2', 'e8g8', 'a3c5', 'g4f2', 'h1h2', 'f8e8', 'c5f2', 'g7g6', 'g1f3', 'd8f6', 'd3c4', 'f6d6', 'd2c1', 'd6h2', 'f3h2', 'e8e2', 'f2g3', 'e2g2', 'g3c7', 'g2g1', 'c1b2', 'g1a1', 'b2a1', 'h7h6', 'c4b5', 'a8c8', 'c7d6', 'g6g5', 'h4g5', 'h6g5', 'd6e7', 'c6e7', 'b5d7', 'c8c3', 'a4a5', 'c3c2', 'a1b1', 'c2h2', 'b3b4', 'h2g2', 'b4b5', 'g2g1', 'b1c2', 'e7d5', 'b5b6', 'd5e3', 'c2d3', 'g1g3', 'b6a7', 'e3d5', 'd3d4', 'd5c7', 'd4c5', 'g5g4', 'd7c8', 'g3c3', 'c5b6', 'g4g3', 'b6b7', 'g3g2', 'b7b8', 'g2g1q', 'a5a6', 'g1b1', 'c8b7', 'c7a6', 'b8a8', 'a6c7', 'a8b8', 'c3b3', 'b8c7', 'b3b7', 'c7c8', 'b7a7', 'c8d8', 'a7a8', 'd8e7', 'b1b4', 'e7f6', 'a8a6', 'f6f5', 'b4b5', 'f5f4', 'a6a4', 'f4e3', 'b5b3', 'e3f2', 'a4a2', 'f2f1', 'b3b1']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-09,omarsayeh,hassnae2,380,317,C40,1-0,omarsayeh won by checkmate,"['e2e4', 'e7e5', 'g1f3', 'h7h5', 'b1c3', 'd7d6', 'd2d4', 'e5d4', 'f3d4', 'c8g4', 'f2f3', 'g4d7', 'f1b5', 'c7c6', 'b5a4', 'c6c5', 'd4b3', 'h8h6', 'd1d5', 'g8f6', 'd5d1', 'g7g5', 'c1g5', 'h6h8', 'c3d5', 'h8g8', 'd5f6', 'e8e7', 'd1d2', 'g8g5', 'd2g5', 'e7e6', 'e1g1', 'd8f6', 'g5f6', 'e6f6', 'g2g4', 'h5g4', 'f3g4', 'f6e5', 'f1f7', 'f8h6', 'a4d7', 'e5e4', 'b3d2', 'e4e3', 'f7e7', 'e3f4', 'a1f1', 'f4g5', 'f1f5', 'g5g4', 'e7e4', 'g4h3', 'f5h5']",Won as White,C40: King's knight opening
Live Chess,Chess.com,2022-04-09,omarsayeh,fedi1000,382,217,B00,1/2-1/2,Game drawn by insufficient material,"['e2e4', 'h7h5', 'g1f3', 'g8f6', 'b1c3', 'a7a5', 'd2d4', 'h5h4', 'c1f4', 'd7d6', 'e4e5', 'd6e5', 'd4e5', 'f6g4', 'd1d8', 'e8d8', 'f3d4', 'c7c5', 'd4b5', 'e7e6', 'f1d3', 'f7f5', 'e1g1', 'b8c6', 'b5d6', 'c8d7', 'd6b7', 'd8c7', 'b7c5', 'c6b4', 'c3b5', 'c7b8', 'c5d7', 'b8b7', 'a1c1', 'a8d8', 'd7c5', 'b7c6', 'c5e6', 'd8e8', 'a2a3', 'b4d3', 'c2d3', 'c6b5', 'd3d4', 'e8e6', 'd4d5', 'e6g6', 'c1a1', 'f8c5', 'a3a4', 'b5b6', 'h2h3', 'g4e5', 'f4e5', 'h8e8', 'f1e1', 'c5b4', 'e1e3', 'b4d2', 'e3e2', 'd2b4', 'g2g3', 'h4g3', 'f2g3', 'g6g3', 'g1f2', 'g3h3', 'e5g7', 'h3h2', 'f2f1', 'h2h1', 'f1f2', 'h1a1', 'e2e8', 'a1a4', 'e8b8', 'b6a7', 'g7e5', 'b4c5', 'f2f3', 'a4a2', 'f3f4', 'a2b2', 'f4f5', 'b2f2', 'f5e4', 'f2e2', 'e4f5', 'e2f2', 'f5e4', 'f2e2', 'e4f5', 'e2d2', 'b8b5', 'c5a3', 'b5a5', 'a7b6', 'a5a3', 'd2d5', 'f5e4', 'd5c5', 'e4d4', 'c5c2', 'a3b3', 'b6a5', 'e5c7', 'c2c7', 'b3a3', 'a5b4', 'a3c3', 'c7c3', 'd4d5', 'c3d3', 'd5c6', 'b4a5', 'c6b7', 'd3d7', 'b7c6', 'd7e7', 'c6d6', 'e7e4', 'd6d5', 'a5b6', 'd5e4']",Draw as White,B00: King's pawn opening
Live Chess,Chess.com,2022-04-09,W1s3Gu7,omarsayeh,352,357,B06,1-0,W1s3Gu7 won by checkmate,"['e2e4', 'g7g6', 'd1g4', 'f7f5', 'e4f5', 'g8f6', 'g4d4', 'b8c6', 'd4e3', 'd7d5', 'c2c4', 'g6f5', 'c4d5', 'f6d5', 'e3g3', 'e7e6', 'f1e2', 'f8d6', 'e2h5', 'e8e7', 'g3g7']",Lost as Black,B06: Robatsch (modern) defence
Live Chess,Chess.com,2022-04-09,omarsayeh,nerdspeak,365,340,A00,1-0,omarsayeh won by resignation,"['e2e4', 'f7f5', 'b1c3', 'b8c6', 'g1f3', 'd7d5', 'f1b5', 'a7a6', 'b5a4', 'd5e4', 'f3e5', 'b7b5', 'e5c6', 'd8d7', 'c6e5', 'd7d6', 'd1h5', 'g7g6', 'e5g6', 'g8f6', 'h5f5', 'h8g8', 'a4b5', 'a6b5', 'c3b5', 'd6d7', 'f5c5', 'g8g6', 'b5c7', 'e8d8', 'c7a8', 'c8b7', 'c5b6', 'd8c8', 'b6c5', 'c8b8', 'a8b6', 'd7c8', 'b6c8']",Won as White,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-10,fedi1000,omarsayeh,201,396,A00,0-1,omarsayeh won by resignation,"['a2a4', 'd7d5', 'd2d4', 'c8g4', 'g2g3', 'b8c6', 'd1d3', 'c6b4', 'd3b3', 'a7a5', 'b3a3', 'b4c2', 'e1d2', 'c2a3', 'b2a3', 'e7e6', 'b1c3', 'd8g5', 'e2e3', 'g8f6', 'f2f4', 'g5h6', 'h2h4', 'f6e4', 'c3e4', 'd5e4', 'f1b5', 'c7c6', 'b5c4', 'f8d6', 'f4f5', 'e8g8', 'f5e6', 'f7e6', 'c4e6', 'h6e6', 'g1f3', 'f8f3', 'c1b2', 'f3g3', 'a1g1', 'g3g1', 'h1g1', 'c6c5', 'd4c5', 'd6c5', 'h4h5', 'g4h5', 'g1h1', 'a8d8', 'b2d4', 'c5d4', 'e3d4', 'd8d4', 'd2e3', 'e6e5', 'h1h4', 'd4a4', 'e3d2', 'a4a3', 'h4h5', 'e5h5']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-10,omarsayeh,fedi1000,384,213,C40,0-1,fedi1000 won by resignation,"['e2e4', 'e7e5', 'g1f3', 'f7f6', 'c2c4', 'a7a5', 'b2b3', 'c7c5', 'b1c3', 'd7d6', 'c3d5', 'c8e6', 'd2d3', 'g7g5', 'c1e3', 'g5g4', 'f3h4', 'h7h5', 'f1e2', 'b8c6', 'e1g1', 'c6b4', 'd5b4', 'c5b4', 'h4g6', 'h8h6', 'e3h6', 'g8h6', 'f2f3', 'f8e7', 'a1c1', 'g4f3', 'f1f3', 'f6f5', 'c4c5', 'f5e4', 'd3e4', 'd6c5', 'g6e7', 'd8e7', 'c1c5', 'e7c5', 'g1h1', 'b7b5', 'd1f1', 'a5a4', 'f3f8', 'c5f8', 'f1f8', 'e8f8', 'e2h5', 'a4b3', 'a2b3', 'e6b3', 'g2g4', 'b3c4', 'g4g5', 'h6f7', 'g5g6', 'f7h8', 'h1g1', 'b4b3', 'g1g2', 'b3b2', 'g2g3', 'b2b1q', 'g3g4', 'b1e4', 'g4g5', 'e4g2', 'g5f5', 'e5e4', 'f5f6', 'e4e3', 'g6g7', 'f8g8', 'h5f7', 'h8f7']",Lost as White,C40: King's knight opening
Live Chess,Chess.com,2022-04-10,omarsayeh,fedi1000,392,205,B00,1-0,omarsayeh won by resignation,"['e2e4', 'a7a5', 'd2d4', 'h7h5', 'g1f3', 'g8f6', 'b1c3', 'b8c6', 'f1b5', 'c6b4', 'e4e5', 'f6g4', 'c1g5', 'e7e6', 'g5d8', 'e8d8', 'h2h3', 'g4f6', 'e5f6', 'g7f6']",Won as White,B00: King's pawn opening
Live Chess,Chess.com,2022-04-10,fedi1000,omarsayeh,217,380,C20,1/2-1/2,Game drawn by stalemate,"['e2e4', 'e7e5', 'f2f3', 'd7d5', 'e4d5', 'd8d5', 'd2d4', 'b8c6', 'd4e5', 'c6e5', 'f1b5', 'c7c6', 'b5d3', 'd5a5', 'c2c3', 'g7g6', 'b2b4', 'a5a6', 'd3a6', 'b7a6', 'a2a4', 'c8f5', 'd1d4', 'a8d8', 'd4e5', 'f5e6', 'e5h8', 'g8f6', 'h8f6', 'f8e7', 'f6h8', 'e7f8', 'h8h7', 'd8d1', 'e1d1', 'e6f5', 'b4b5', 'c6b5', 'a4b5', 'a6b5', 'a1a7', 'f5b1', 'a7a8', 'e8d7', 'a8f8', 'b1c2', 'd1c2', 'b5b4', 'c3b4', 'd7c6', 'h7f7', 'c6b5', 'f7g6', 'b5b4', 'g6e4', 'b4c5', 'f8c8', 'c5d6', 'c1f4', 'd6d7', 'c8g8']",Draw as Black,C20: King's pawn game
Live Chess,Chess.com,2022-04-11,omarsayeh,MxJiN,371,332,C40,0-1,MxJiN won - game abandoned,"['e2e4', 'e7e5', 'g1f3', 'd7d5', 'd2d4', 'e5d4', 'f1b5', 'c7c6', 'b5a4', 'd5e4', 'f3d4', 'g8f6', 'b1c3', 'b7b5', 'd4c6', 'd8d1', 'c3d1', 'b5a4', 'e1g1', 'b8c6', 'a2a3', 'f6h5', 'c2c4', 'g7g6', 'd1e3', 'f8g7', 'f2f3', 'e4f3', 'g2f3', 'e8g8', 'f3f4', 'f7f5', 'f1d1', 'h5f4', 'e3g2', 'f4e2', 'g1f1', 'e2c1', 'a1c1', 'g7b2', 'c1b1', 'b2a3', 'g2f4', 'a8b8', 'd1e1', 'b8b1']",Lost as White,C40: King's knight opening
Live Chess,Chess.com,2022-04-15,soul2281337,omarsayeh,371,371,A00,1-0,soul2281337 won by checkmate,"['g2g3', 'f7f5', 'f1g2', 'g7g6', 'g1f3', 'g8f6', 'd2d4', 'd7d5', 'c1f4', 'e7e6', 'b1c3', 'f8b4', 'a2a3', 'b4a5', 'e1g1', 'b8c6', 'f4g5', 'e8g8', 'd1d2', 'b7b5', 'a1b1', 'b5b4', 'a3b4', 'c6b4', 'b1a1', 'b4c6', 'd2f4', 'e6e5', 'd4e5', 'c8e6', 'f4h4', 'a8b8', 'e5f6', 'b8b4', 'f3d4', 'd8b8', 'h4h6', 'f8f7', 'd4e6', 'b4b2', 'c3d5', 'b2c2', 'd5e7', 'f7e7', 'f6e7', 'c6e7', 'g5e7', 'b8e8', 'h6g7']",Lost as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-15,omarsayeh,YelloWhisky,379,353,D00,1-0,omarsayeh won on time,"['d2d4', 'd7d5', 'c1f4', 'c7c6', 'e2e3', 'f7f6', 'b1c3', 'b8d7', 'c3b5', 'c6b5', 'f1b5', 'e7e5', 'd4e5', 'f6e5', 'f4e5', 'a7a6', 'd1h5', 'g7g6', 'h5g4', 'a6b5', 'e5h8', 'g8f6', 'g4e6', 'f8e7', 'h8f6', 'd7f6', 'e1c1', 'c8e6', 'g1f3', 'd8c7', 'f3g5', 'e6f5', 'g2g4', 'f5g4', 'h2h3', 'g4d7', 'b2b3', 'f6e4', 'c2c4', 'e7g5', 'd1d5', 'g5h4', 'd5h5', 'h4f2', 'h5h7', 'f2e3', 'c1b2', 'e4f2', 'h7h8', 'e8f7', 'h8h7', 'f7f6', 'h1g1', 'd7f5', 'h7c7', 'a8d8', 'c4b5', 'd8d2', 'b2c3', 'f2e4', 'c3b4', 'e3g1', 'c7c6', 'f6g7', 'c6c7', 'g7h6', 'c7b7', 'd2d4', 'b4a3', 'f5h3', 'b5b6', 'h3g2', 'b7b8', 'e4c3', 'b8h8', 'h6g5', 'a3b2', 'c3e2', 'h8b8', 'd4d3', 'b6b7', 'g1d4', 'b2a3', 'g2c6', 'b8a8', 'd4c5', 'a3b2', 'e2d4', 'b7b8q', 'd3d2', 'b2c3', 'd4f3', 'a8a5', 'g5h4', 'a5c5', 'c6e4', 'b8h8', 'h4g3', 'a2a4', 'g6g5', 'a4a5', 'd2d7', 'h8e8', 'd7h7', 'a5a6', 'g3f4', 'e8b8', 'f4e3', 'a6a7']",Won as White,D00: Queen's pawn game
Live Chess,Chess.com,2022-04-18,omarsayeh,Samborama,364,402,D00,0-1,Samborama won by checkmate,"['d2d4', 'd7d5', 'f2f4', 'c8f5', 'g1f3', 'e7e6', 'b1d2', 'd8f6', 'f3e5', 'f8d6', 'e2e3', 'c7c5', 'd1h5', 'd6e5', 'f4e5', 'f6h6', 'f1b5', 'b8c6', 'h5f3', 'a7a6', 'b5a4', 'f7f6', 'e3e4', 'd5e4', 'd2e4', 'h6h4', 'g2g3', 'h4e4', 'f3e4', 'f5e4', 'd4c5', 'b7b5', 'a4b3', 'e8d7', 'e1g1', 'c6e5', 'f1d1', 'd7c6', 'c1e3', 'e5f3', 'g1g2', 'g8h6', 'd1d6', 'c6c7', 'b3e6', 'h6f5', 'e6f5', 'e4f5', 'g2f3', 'a8e8', 'e3f4', 'f5e4', 'f3g4', 'h7h5', 'g4h4', 'g7g5', 'f4g5', 'f6g5', 'h4g5', 'e8g8', 'g5h4', 'g8g4', 'h4h3', 'c7b7', 'c5c6', 'b7b6', 'b2b3', 'h8c8', 'c6c7', 'b6c7', 'd6a6', 'c7b7', 'c2c3', 'c8c3', 'a6a5', 'b7b6', 'b3b4', 'c3c2', 'a2a4', 'e4g2']",Lost as White,D00: Queen's pawn game
Live Chess,Chess.com,2022-04-18,Marivio,omarsayeh,376,356,A00,1-0,Marivio won - game abandoned,"['b1c3', 'f7f5', 'g1f3', 'g7g6', 'e2e4', 'g8f6', 'e4f5', 'g6f5', 'f1b5', 'e7e6', 'e1g1', 'f8c5', 'd2d4', 'c7c6', 'b5c4', 'f6e4', 'd4c5', 'e4c5', 'f3e5', 'c5e4', 'd1h5', 'e8e7', 'c1g5']",Lost as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-19,omarsayeh,fedi1000,362,253,D00,1-0,omarsayeh won by checkmate,"['d2d4', 'd7d5', 'e2e4', 'd5e4', 'c1e3', 'f7f5', 'f1b5', 'c8d7', 'b1c3', 'd7b5', 'c3b5', 'b7b6', 'd1h5', 'g7g6', 'h5g5', 'c7c6', 'b5c3', 'a7a5', 'e1c1', 'a5a4', 'd4d5', 'c6d5', 'd1d5', 'd8c7', 'c3b5', 'c7c4', 'b5c3', 'f8h6', 'g5h4', 'g6g5', 'e3g5', 'h6g5', 'h4g5', 'b8c6', 'g5g7', 'c4f1', 'c3d1', 'f1g2', 'g7h8', 'g2h1', 'h8g8']",Won as White,D00: Queen's pawn game
Live Chess,Chess.com,2022-04-19,fedi1000,omarsayeh,263,352,A02,1-0,fedi1000 won by checkmate,"['f2f4', 'f7f5', 'g2g3', 'd7d5', 'f1h3', 'e7e6', 'g1f3', 'f8c5', 'e2e3', 'g8f6', 'e1g1', 'f6e4', 'f3g5', 'd5d4', 'e3d4', 'c5d4', 'f1f2', 'e4f2', 'd1h5', 'g7g6', 'h5h6', 'f2h3', 'g1g2', 'h3f2', 'g5h7', 'h8h7', 'h6h7', 'd8f6', 'h7c7', 'a7a6', 'c7c8', 'e8e7', 'c8b7', 'e7d6', 'b7a8', 'b8c6', 'a8a6', 'e6e5', 'c2c3', 'e5f4', 'c3d4', 'f6d4', 'g3f4', 'd4e4', 'g2f2', 'e4f4', 'f2e2', 'f4h2', 'e2e1', 'h2h1', 'e1f2', 'h1c1', 'a6f1', 'c1b2', 'f1d3', 'b2d4', 'd3d4', 'c6d4', 'b1c3', 'd4c2', 'a1g1', 'd6c5', 'g1g6', 'c5c4', 'c3d5', 'c4d5', 'a2a4', 'c2b4', 'a4a5', 'd5d4', 'a5a6', 'f5f4', 'a6a7', 'd4e5', 'a7a8q', 'e5f5', 'g6b6', 'b4d3', 'f2e2', 'd3c1', 'e2d1', 'f4f3', 'a8f3', 'f5e5', 'b6b5', 'e5d4', 'f3f2', 'd4d3', 'd1c1', 'd3c4', 'b5b6', 'c4d5', 'f2f5', 'd5c4', 'b6c6', 'c4d4', 'f5f4', 'd4d5', 'c6c7', 'd5e6', 'd2d4', 'e6d5', 'c7d7', 'd5c4', 'd4d5', 'c4c5', 'd5d6', 'c5c6', 'd7a7', 'c6b6', 'd6d7', 'b6a7', 'd7d8q', 'a7b7', 'd8d7', 'b7b6', 'f4b4', 'b6a6', 'd7c8', 'a6a7', 'b4c5']",Lost as Black,A02: Bird's opening
Live Chess,Chess.com,2022-04-22,omarsayeh,fedi1000,358,243,C21,1-0,omarsayeh won by checkmate,"['e2e4', 'e7e5', 'd2d4', 'f7f6', 'b1c3', 'b8c6', 'c1e3', 'f8b4', 'a2a3', 'b4d6', 'd4d5', 'c6e7', 'f1c4', 'f6f5', 'g1f3', 'g8f6', 'c3b5', 'd6b4', 'a3b4', 'f6e4', 'd5d6', 'c7d6', 'b5d6', 'e4d6', 'e3c5', 'd6c4', 'e1g1', 'e7g6', 'f3g5', 'c4b2', 'd1h5', 'd8f6', 'a1b1', 'b2a4', 'c5e3', 'h7h6', 'g5f3', 'd7d5', 'b1a1', 'a4c3', 'e3c5', 'c3e2', 'g1h1', 'e2f4', 'h5g5', 'f6c6', 'g5f5', 'c8f5', 'f3e5', 'c6e6', 'f1e1', 'f5c2', 'e5g6', 'c2e4', 'g6h8', 'e4g2', 'h1g1', 'g2h3', 'e1e6', 'f4e6', 'a1e1', 'd5d4', 'e1e6', 'h3e6', 'c5d4', 'b7b6', 'd4g7', 'h6h5', 'h8g6', 'a8c8', 'g6f4', 'c8c1', 'g1g2', 'c1c4', 'f4e6', 'c4c6', 'e6d4', 'c6d6', 'b4b5', 'a7a5', 'b5a6', 'd6d4', 'g7d4', 'b6b5', 'a6a7', 'b5b4', 'a7a8q', 'e8d7', 'a8a7', 'd7d6', 'a7a6', 'd6d5', 'a6b6', 'd5c4', 'b6c5', 'c4d3', 'f2f4', 'b4b3', 'f4f5', 'd3e4', 'f5f6', 'e4d3', 'f6f7', 'd3d2', 'f7f8q', 'b3b2', 'd4b2', 'd2d1', 'f8d8', 'd1e2', 'c5e5']",Won as White,C21: Centre game
Live Chess,Chess.com,2022-04-22,fedi1000,omarsayeh,238,363,A00,0-1,omarsayeh won by checkmate,"['h2h4', 'e7e5', 'g1f3', 'b8c6', 'g2g3', 'e5e4', 'f3g5', 'd7d5', 'f1h3', 'f7f6', 'g5e6', 'c8e6', 'h3e6', 'g8e7', 'e1g1', 'f6f5', 'd2d3', 'd8d6', 'e6d5', 'e7d5', 'c1f4', 'd5f4', 'g3f4', 'd6f4', 'e2e3', 'f4h4', 'f2f4', 'f8d6', 'd1d2', 'h4g4', 'd2g2', 'e8c8', 'f1f3', 'e4f3', 'g2g4', 'f5g4', 'b1c3', 'g4g3', 'a1f1', 'd8e8', 'f1f3', 'g7g5', 'f4g5', 'h8g8', 'f3f5', 'c6e7', 'f5f3', 'g8g5', 'f3f7', 'd6c5', 'f7h7', 'c5e3', 'g1g2', 'e8g8', 'h7e7', 'g8f8', 'c3b5', 'f8f2', 'g2g1', 'f2c2', 'e7e3', 'c2c1', 'g1g2', 'c7c6', 'b5a7', 'c8c7', 'e3e7', 'c7d6', 'e7b7', 'c1c2', 'g2f3', 'g5f5', 'f3e4', 'f5e5', 'e4d4', 'c6c5']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-04-23,omarsayeh,pablojara86,362,343,A45,1-0,omarsayeh won by resignation,"['d2d4', 'g8f6', 'c1f4', 'b8c6', 'e2e3', 'a7a6', 'f1c4', 'h7h6', 'b1c3', 'g7g5', 'g1f3', 'g5f4', 'e3f4', 'b7b5', 'c4d5', 'f6d5', 'c3d5', 'c6d4', 'f3d4', 'e7e6', 'd5f6', 'd8f6', 'e1g1', 'f6f4', 'd4e2', 'f4b4', 'd1d4', 'b4e7', 'b2b4', 'd7d6', 'a1d1', 'e6e5', 'd4d5', 'a8b8', 'd5c6', 'c8d7', 'c6c7', 'b8d8', 'd1d5', 'd8c8', 'c7b7', 'f8g7', 'f1d1', 'f7f5', 'f2f4', 'e5f4', 'e2f4', 'd7c6', 'b7c8', 'e8f7', 'c8c6', 'e7e3', 'g1h1', 'e3f3', 'c6c7', 'f7f6', 'g2f3']",Won as White,A45: Queen's pawn game
Live Chess,Chess.com,2022-04-23,omarsayeh,Sznt_Norbi,355,409,D00,0-1,Sznt_Norbi won - game abandoned,"['d2d4', 'd7d5', 'c1f4', 'g8f6', 'e2e3', 'c8f5', 'f1d3', 'f5d3', 'c2d3', 'e7e6', 'd1a4', 'c7c6', 'e3e4', 'f8d6', 'e4e5', 'd6c7', 'e5f6', 'g7f6', 'f4h6', 'e6e5', 'g1f3', 'e5d4', 'a4d4', 'd8e7', 'e1f1', 'c7a5', 'b1c3', 'b8a6', 'h6g7', 'h8g8', 'g7f6', 'e7d6', 'd4e5', 'd6e5', 'f6e5', 'g8f8', 'f3g5', 'a6b4', 'g5h7', 'f8g8', 'a2a3', 'b4d3', 'f2f4', 'a5b6', 'a1d1', 'd3f2', 'd1e1', 'f2h1', 'e5f6', 'e8d7', 'e1e7', 'd7c8', 'e7f7', 'g8e8', 'a3a4', 'a7a5', 'b2b4', 'a5b4', 'c3a2', 'a8a4', 'f7f8', 'e8f8', 'h7f8', 'a4a2', 'f8e6', 'a2a1', 'f1e2', 'b4b3', 'g2g4', 'a1a2', 'e2f3', 'b3b2', 'g4g5', 'b2b1q', 'g5g6', 'b1g6', 'f4f5', 'g6f6']",Lost as White,D00: Queen's pawn game
