Event,Site,Date,White,Black,WhiteElo,BlackElo,Opening Code,Result,Termination,Moves,Outcome,Opening
Live Chess,Chess.com,2022-03-10,BenIsHot6969,omarsayeh,172,100,A00,1-0,BenIsHot6969 won by resignation,"['e2e3', 'd7d5', 'd2d3', 'e7e5', 'd1h5', 'g7g6', 'h5e5', 'e8d7', 'e5d5', 'd7e8', 'd5f7', 'e8f7', 'f2f4', 'f7e8', 'c2c4', 'h7h6', 'a2a4', 'g8f6', 'g1h3', 'h6h5', 'g2g3', 'c7c5', 'b1c3', 'b7b6', 'c3a2', 'a7a5', 'h3g5', 'b6b5', 'c4b5', 'b8d7', 'b5b6', 'd7b6', 'g5e6', 'b6a4', 'e6d8', 'e8d8', 'b2b3', 'c8g4', 'b3a4', 'f8d6', 'h2h3', 'g4e6', 'a2c3', 'e6d5', 'c3d5', 'f6d5', 'c1a3', 'd8c8', 'a1c1', 'd5e3', 'c1b1', 'e3g4', 'h3g4', 'h5g4', 'h1h8', 'c8c7', 'b1b5', 'a8h8', 'a3c5', 'h8d8', 'b5a5', 'g6g5', 'c5d6', 'd8d6', 'a5g5', 'd6d3', 'f1d3']",Lost as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-03-10,BimalenduBera,omarsayeh,224,154,A02,1-0,BimalenduBera won by checkmate,"['d2d4', 'f7f5', 'f2f4', 'g8f6', 'h2h3', 'f6e4', 'b1d2', 'e4d6', 'e2e3', 'b7b5', 'b2b4', 'c7c6', 'd2b3', 'c8a6', 'g1f3', 'h7h6', 'f3h4', 'g7g5', 'h4f5', 'd6f5', 'd1h5']",Lost as Black,A02: Bird's opening
Live Chess,Chess.com,2022-03-10,Ramanchess15,omarsayeh,330,100,C46,1-0,Ramanchess15 won by checkmate,"['e2e4', 'e7e5', 'g1f3', 'b8c6', 'b1c3', 'f8d6', 'f1c4', 'g8f6', 'd2d4', 'e8g8', 'd4e5', 'd6e5', 'f3e5', 'f6e4', 'c3e4', 'c6e5', 'd1d4', 'e5c6', 'd4e3', 'f8e8', 'e3f4', 'd7d5', 'c4d3', 'd5e4', 'd3e4', 'd8d4', 'c1e3', 'e8e4', 'f4f3', 'd4b2', 'e1g1', 'e4g4', 'f1d1', 'h7h6', 'g2g3', 'c6e5', 'd1d8', 'g8h7', 'f3e4', 'g7g6', 'e3d4', 'e5f3', 'e4f3', 'g4d4', 'f3f7']",Lost as Black,C46: Three knights game
Live Chess,Chess.com,2022-03-11,adriana290290,omarsayeh,100,205,A00,0-1,omarsayeh won by resignation,"['b1a3', 'b8c6', 'a1b1', 'g8f6', 'g1h3', 'e7e5', 'h1g1', 'f6g4', 'b2b3', 'g4h2', 'e2e3', 'h2f1', 'e1f1', 'g7g5', 'h3g5', 'd8g5', 'd2d3', 'c6b4', 'b1a1', 'c7c6', 'd1e1', 'b7b5', 'e1b4', 'f8b4', 'a3b5', 'c6b5', 'a2a3', 'b4c3']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-03-11,omarsayeh,ertga420,243,230,C20,1-0,omarsayeh won by resignation,"['c2c4', 'e7e5', 'e2e4', 'g8f6', 'f2f3', 'f8c5', 'g1e2']",Won as White,C20: King's pawn game
Live Chess,Chess.com,2022-03-11,MalekEssayeh,omarsayeh,854,203,B20,1-0,MalekEssayeh won by checkmate,"['e2e4', 'c7c5', 'd1h5', 'g7g6', 'h5f3', 'e7e6', 'f3f7', 'e8f7', 'g1f3', 'd8h4', 'f3h4', 'f8d6', 'f1c4', 'f7f6', 'e1g1', 'g6g5', 'h4f3', 'h7h6', 'b1c3', 'b8c6', 'f1e1', 'c6a5', 'e4e5', 'd6e5', 'f3e5', 'f6e7', 'e5g6', 'e7f6', 'g6h8', 'g8e7', 'c3e4', 'f6g7', 'h8f7', 'g7f7', 'e4d6', 'f7f8', 'e1e5', 'a5c4', 'd6c4', 'd7d5', 'c4d6', 'c8d7', 'd6b7', 'd7a4', 'b7c5', 'a4c2', 'c5e6', 'f8e8', 'e6c7', 'e8d7', 'c7a8', 'e7c6', 'e5d5', 'd7c8', 'b2b4', 'c2e4', 'd5c5', 'g5g4', 'b4b5', 'c8d8', 'b5c6', 'd8e7', 'c6c7', 'e7d7', 'c7c8q', 'd7e7', 'c8a6', 'e4a8', 'c5c7', 'e7d8', 'a6c8']",Lost as Black,B20: Sicilian defence
Live Chess,Chess.com,2022-03-11,walywall,omarsayeh,259,225,A00,0-1,omarsayeh won on time,"['e2e3', 'c7c5', 'd1g4', 'g8f6', 'g4g5', 'h7h6', 'g5c5', 'd7d6', 'c5c3', 'c8g4', 'h2h3', 'g4e6', 'f1b5', 'b8c6', 'b5c6', 'b7c6', 'c3c6', 'd8d7', 'c6a8', 'd7c8', 'a8a7', 'e6d7', 'b1c3', 'e7e5', 'd2d4', 'g7g5', 'd4e5', 'd6e5', 'f2f4', 'e5f4', 'e3f4', 'g5f4', 'c1f4', 'f6h5', 'g2g4', 'h5f4', 'h1h2', 'f7f5', 'h2f2', 'f4d5', 'c3d5', 'f5g4', 'h3g4', 'd7g4', 'd5e3', 'g4e6', 'a1d1', 'h8g8', 'a7a6', 'g8g6', 'a6d3', 'g6g1', 'e3f1', 'e6a2', 'd3e3', 'a2e6', 'd1c1', 'h6h5', 'b2b4', 'h5h4', 'b4b5', 'g1h1', 'e3f3', 'h4h3', 'f3h1', 'c8b8', 'c2c4', 'f8a3', 'c1d1', 'e6c4', 'h1h3', 'b8b5', 'h3a3', 'b5b3', 'a3a1', 'c4e6', 'a1e5', 'b3c4', 'e5e2', 'c4b3', 'd1d3', 'b3b1', 'd3d1', 'b1b4', 'd1d2', 'b4b1', 'd2d1', 'b1b4', 'e2d2', 'b4b3', 'f2e2', 'b3c4', 'e2e6', 'c4e6', 'f1e3', 'e6e7', 'd2a2', 'e7e3']",Won as Black,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-03-11,omarsayeh,maryazaa006,185,216,A20,1-0,omarsayeh won by checkmate,"['c2c4', 'e7e5', 'g1f3', 'b8c6', 'd2d3', 'd7d5', 'd1a4', 'g8f6', 'e2e4', 'f6g4', 'f1e2', 'g4f2', 'e1f2', 'b7b5', 'c4b5', 'a7a5', 'e4d5', 'd8d5', 'b1c3', 'd5e6', 'b5c6', 'f8c5', 'f2e1', 'h7h5', 'a4c4', 'e6c4', 'd3c4', 'h8h6', 'f3e5', 'h6e6', 'e5f3', 'e6c6', 'e1f1', 'c6f6', 'c1g5', 'f6g6', 'g5d2', 'c8g4', 'a2a3', 'g4f3', 'g2f3', 'a8d8', 'b2b4', 'd8d2', 'b4c5', 'g6e6', 'a1d1', 'd2e2', 'c3e2', 'a5a4', 'd1e1', 'h5h4', 'h1g1', 'e8f8', 'g1g4', 'h4h3', 'g4g3', 'e6e3', 'g3h3', 'e3a3', 'c5c6', 'a3a2', 'c4c5', 'a2b2', 'f3f4', 'a4a3', 'h3a3', 'b2c2', 'a3a7', 'c2c5', 'a7c7', 'c5f5', 'c7b7', 'f5h5', 'c6c7', 'h5h2', 'c7c8q']",Won as White,A20: English opening
Live Chess,Chess.com,2022-03-11,omarsayeh,Jovanni280810,191,100,A04,1-0,omarsayeh won by resignation,"['g1f3', 'f7f6', 'b1c3', 'c7c6', 'e2e4', 'a7a6', 'b2b4', 'h7h6', 'a2a4', 'b7b6', 'd2d4', 'c8b7', 'd4d5', 'c6d5', 'e4d5', 'b7d5', 'c3d5', 'd7d6', 'd5e3', 'e7e6', 'f1c4', 'd8e7', 'g2g4', 'g7g6', 'c1b2', 'e7a7', 'c4e6', 'b8c6', 'b2c3', 'a6a5', 'b4b5', 'c6e5', 'f3e5', 'd6e5', 'e3d5', 'a8d8', 'f2f3', 'h8h7', 'e6g8', 'a7g7', 'g8e6', 'd8d5', 'e6d5', 'e8e7', 'e1g1', 'g6g5', 'f1e1', 'g7h8', 'e1e4', 'f8g7', 'e4c4', 'e7f8', 'c4c6', 'h8g8', 'c6b6', 'g8h8', 'b6a6', 'h8g8', 'a6a5', 'g8d5', 'd1d5', 'f8e7', 'b5b6', 'g7f8', 'b6b7', 'e7e8', 'b7b8q', 'e8e7']",Won as White,A04: Reti opening
Live Chess,Chess.com,2022-03-11,omarsayeh,MalekEssayeh,204,853,A06,0-1,MalekEssayeh won by checkmate,"['b1c3', 'd7d5', 'g1f3', 'c8f5', 'd2d3', 'e7e6', 'e2e4', 'f5g6', 'e4d5', 'e6d5', 'c3d5', 'd8d5', 'd1e2', 'f8e7', 'b2b3', 'd5a5', 'c1d2', 'a5c5', 'a2a4', 'c5c2', 'a1c1', 'c2b3', 'a4a5', 'b8c6', 'c1c3', 'b3b1', 'c3c1', 'b1a2', 'g2g3', 'c6a5', 'f1h3', 'a5b3', 'c1c2', 'a2c2', 'f3g1', 'g6d3', 'e2e5', 'c2d2']",Lost as White,A06: Reti opening
